name,position
Valeri Nichushkin,FW
Alex Iafallo,FW
Ilya Lyubushkin,DF
Maxwell Crozier,DF
Ivan Barbashev,FW
Jakob Pelletier,FW
Owen Tippett,FW
Alex Ovechkin,FW
Aaron Ekblad,DF
Andre Burakovsky,FW
Linus Karlsson,FW
Connor Mackey,DF
Erik Karlsson,DF
Quinton Byfield,FW
Nick Paul,FW
Patrick Kane,FW
Sam Carrick,FW
Brendan Gallagher,FW
Emil Heineman,FW
Ryan O'Reilly,FW
Taylor Raddysh,FW
Sam Malinski,DF
Pius Suter,FW
Nicholas Robertson,FW
Kevin Labanc,FW
Lars Eller,FW
Sam Poulin,FW
Jack McBain,FW
A.J. Greer,FW
Jere Innala,FW
Morgan Frost,FW
Drew Helleson,DF
Kevin Bahl,DF
Isaak Phillips,DF
James Malatesta,FW
Quinn Hughes,DF
Morgan Barron,FW
Bo Horvat,FW
Alexander Wennberg,FW
Dominic Toninato,FW
Jack Drury,FW
Owen Beck,FW
Zemgus Girgensons,FW
Dominik Shine,FW
David Gustafsson,FW
Justin Faulk,DF
Tomas Tatar,FW
Tim Sttzle,FW
Dryden Hunt,FW
Mike Hardman,FW
Sonny Milano,FW
Cam Fowler,DF
Jaccob Slavin,DF
Reese Johnson,FW
Logan Mailloux,DF
Auston Matthews,FW
Dylan DeMelo,DF
Nico Sturm,FW
Mathew Barzal,FW
Adam Lowry,FW
Jake Evans,FW
Cole Caufield,FW
Parker Wotherspoon,DF
Anton Lundell,FW
Ville Heinola,DF
Mathieu Olivier,FW
Cutter Gauthier,FW
Matj  Blmel,FW
Alexander Holtz,FW
Mark Stone,FW
Mattias Janmark,FW
Jamie Drysdale,DF
Conor Sheary,FW
Declan Chisholm,DF
Jansen Harkins,FW
Jordan Eberle,FW
Jackson Blake,FW
Miro Heiskanen,DF
Morgan Geekie,FW
Drake Batherson,FW
Yanni Gourde,FW
Juraj Slafkovsky,FW
Declan Carlile,DF
Kevin Hayes,FW
Andrew Peeke,DF
Eetu Luostarinen,FW
Kirby Dach,FW
Sean Durzi,DF
Carson Soucy,DF
Yegor Chinakhov,FW
Brett Kulak,DF
John Hayden,FW
Jake Guentzel,FW
Jason Dickinson,FW
Brandon Hagel,FW
Egor Zamula,DF
Noah Hanifin,DF
Tommy Novak,FW
Albert Johansson,DF
Chris Tanev,DF
Raphael Lavoie,FW
Jani Hakanp,DF
Victor Olofsson,FW
Hudson Fasching,FW
Mark Kastelic,FW
Derek Forbort,DF
Max Jones,FW
Ben Meyers,FW
Matthew Knies,FW
Marcus Foligno,FW
Nathan Clurman,DF
Alexander Alexeyev,DF
Brandon Montour,DF
Patrick Maroon,FW
Chandler Stephenson,FW
Sean Monahan,FW
Barrett Hayton,FW
Jake DeBrusk,FW
Jason Zucker,FW
Hampus Lindholm,DF
Niko Mikkola,DF
Eeli Tolvanen,FW
Alex Vlasic,DF
Rafael Harvey-Pinard,FW
Nic Dowd,FW
Anthony Cirelli,FW
Blake Lizotte,FW
Jonah Gadjovich,FW
Lukas Reichel,FW
Zack MacEwen,FW
Tyler Seguin,FW
Marc Gatcomb,FW
Jake Bean,DF
Arttu Hyry,FW
Jake Christiansen,DF
David Savard,DF
Mavrik Bourque,FW
Adam Henrique,FW
Brenden Dillon,DF
Jayden Struble,DF
Kyle Burroughs,DF
Vasily Podkolzin,FW
Marco Rossi,FW
Devon Toews,DF
Jordan Oesterle,DF
Pontus Holmberg,FW
Martin Necas,FW
Dakota Joshua,FW
Dylan Strome,FW
Moritz Seider,DF
Vladimir Tarasenko,FW
Adam Gaudette,FW
