Player,League,GP,G,A,PTS,PIM,+/-
A.J. Greer,AHL,278.0,85.0,110.0,195.0,380.0,-28.0
A.J. Greer,H-East,55.0,4.0,8.0,12.0,28.0,-1.0
A.J. Greer,NHL,224.0,18.0,27.0,45.0,283.0,1.0
A.J. Greer,QMJHL,33.0,16.0,11.0,27.0,57.0,8.0
A.J. Greer,USHL,2.0,2.0,1.0,3.0,2.0,3.0
Aaron Ekblad,NHL,725.0,118.0,255.0,373.0,495.0,93.0
Aaron Ekblad,OHL,175.0,40.0,76.0,116.0,189.0,31.0
Aatu Raty,AHL,155.0,39.0,69.0,108.0,60.0,11.0
Aatu Raty,NHL,36.0,4.0,3.0,7.0,12.0,-2.0
Aatu Raty,SM-liiga,94.0,18.0,33.0,51.0,54.0,25.0
Adam Boqvist,AHL,15.0,1.0,5.0,6.0,10.0,2.0
Adam Boqvist,NHL,232.0,26.0,66.0,92.0,46.0,-45.0
Adam Boqvist,OHL,54.0,20.0,40.0,60.0,12.0,12.0
Adam Boqvist,Swe-1,7.0,0.0,2.0,2.0,2.0,1.0
Adam Boqvist,Swe-Jr,43.0,18.0,22.0,40.0,28.0,7.0
Adam Boqvist,SweHL,15.0,0.0,1.0,1.0,4.0,-7.0
Adam Edstrom,AHL,43.0,12.0,5.0,17.0,16.0,-3.0
Adam Edstrom,NHL,62.0,7.0,4.0,11.0,29.0,-3.0
Adam Edstrom,Swe-Jr,70.0,19.0,8.0,27.0,28.0,-21.0
Adam Edstrom,SweHL,189.0,23.0,25.0,48.0,88.0,3.0
Adam Fantilli,Big-10,36.0,30.0,35.0,65.0,67.0,31.0
Adam Fantilli,NHL,105.0,27.0,32.0,59.0,30.0,-26.0
Adam Fantilli,USHL,103.0,55.0,55.0,110.0,115.0,30.0
Adam Fox,ECAC,97.0,21.0,95.0,116.0,32.0,45.0
Adam Fox,NHL,412.0,57.0,295.0,352.0,168.0,114.0
Adam Fox,USHL,59.0,8.0,31.0,39.0,28.0,0.0
Adam Gaudette,AHL,148.0,77.0,57.0,134.0,120.0,15.0
Adam Gaudette,H-East,116.0,68.0,74.0,142.0,81.0,16.0
Adam Gaudette,NHL,275.0,43.0,49.0,92.0,94.0,-26.0
Adam Gaudette,USHL,50.0,13.0,17.0,30.0,55.0,23.0
Adam Ginning,AHL,175.0,7.0,35.0,42.0,186.0,13.0
Adam Ginning,NHL,11.0,1.0,0.0,1.0,2.0,-1.0
Adam Ginning,Swe-1,17.0,0.0,4.0,4.0,44.0,-1.0
Adam Ginning,Swe-Jr,52.0,4.0,16.0,20.0,42.0,16.0
Adam Ginning,SweHL,216.0,8.0,21.0,29.0,195.0,-15.0
Adam Henrique,AHL,92.0,30.0,29.0,59.0,40.0,-2.0
Adam Henrique,NHL,967.0,270.0,276.0,546.0,300.0,-6.0
Adam Henrique,OHL,238.0,111.0,117.0,228.0,152.0,77.0
Adam Klapka,AHL,156.0,47.0,49.0,96.0,220.0,10.0
Adam Klapka,Czech,44.0,6.0,12.0,18.0,72.0,-1.0
Adam Klapka,NHL,18.0,2.0,0.0,2.0,34.0,0.0
Adam Klapka,USHL,57.0,15.0,10.0,25.0,95.0,12.0
Adam Lowry,AHL,77.0,17.0,21.0,38.0,55.0,-4.0
Adam Lowry,NHL,750.0,116.0,149.0,265.0,406.0,49.0
Adam Lowry,WHL,235.0,90.0,114.0,204.0,333.0,10.0
Adam Pelech,AHL,105.0,3.0,20.0,23.0,64.0,1.0
Adam Pelech,NHL,535.0,26.0,128.0,154.0,215.0,79.0
Adam Pelech,OHL,228.0,20.0,107.0,127.0,223.0,30.0
Adam Wilsby,AHL,146.0,10.0,34.0,44.0,62.0,22.0
Adam Wilsby,NHL,23.0,1.0,4.0,5.0,6.0,3.0
Adam Wilsby,Swe-1,41.0,3.0,27.0,30.0,26.0,1.0
Adam Wilsby,Swe-Jr,102.0,11.0,40.0,51.0,46.0,-5.0
Adam Wilsby,SweHL,109.0,10.0,26.0,36.0,48.0,42.0
Adrian Kempe,AHL,104.0,23.0,25.0,48.0,73.0,-8.0
Adrian Kempe,NHL,602.0,184.0,190.0,374.0,357.0,17.0
Adrian Kempe,Swe-Jr,59.0,9.0,23.0,32.0,68.0,-1.0
Adrian Kempe,SweHL,95.0,10.0,18.0,28.0,54.0,-3.0
Akil Thomas,AHL,157.0,46.0,47.0,93.0,74.0,-8.0
Akil Thomas,NHL,29.0,4.0,3.0,7.0,9.0,-3.0
Akil Thomas,OHL,241.0,105.0,210.0,315.0,149.0,44.0
Akil Thomas,OJHL,3.0,0.0,0.0,0.0,0.0,0.0
Albert Johansson,AHL,119.0,11.0,25.0,36.0,84.0,0.0
Albert Johansson,NHL,35.0,1.0,4.0,5.0,8.0,-4.0
Albert Johansson,Swe-Jr,58.0,9.0,29.0,38.0,79.0,4.0
Albert Johansson,SweHL,141.0,15.0,42.0,57.0,44.0,10.0
Alec Martinez,AHL,147.0,20.0,49.0,69.0,82.0,15.0
Alec Martinez,CCHA,123.0,21.0,46.0,67.0,113.0,0.0
Alec Martinez,CHL,3.0,1.0,1.0,2.0,0.0,3.0
Alec Martinez,NHL,846.0,87.0,199.0,286.0,246.0,81.0
Alec Martinez,SM-liiga,11.0,1.0,1.0,2.0,8.0,2.0
Alec Martinez,USHL,58.0,10.0,11.0,21.0,30.0,16.0
Alex Barr-Boulet,AHL,336.0,125.0,216.0,341.0,166.0,63.0
Alex Barr-Boulet,NHL,70.0,12.0,6.0,18.0,16.0,-11.0
Alex Barr-Boulet,QMJHL,263.0,140.0,197.0,337.0,175.0,23.0
Alex DeBrincat,NHL,588.0,239.0,249.0,488.0,158.0,-56.0
Alex DeBrincat,OHL,191.0,167.0,165.0,332.0,150.0,137.0
Alex Iafallo,NCHC,152.0,48.0,73.0,121.0,52.0,41.0
Alex Iafallo,NHL,558.0,104.0,146.0,250.0,99.0,31.0
Alex Iafallo,USHL,108.0,37.0,38.0,75.0,23.0,45.0
Alex Killorn,AHL,54.0,18.0,26.0,44.0,34.0,12.0
